,title,artist,url,participant,playlist_type
3,Hallelujah,Pentatonix,youtube.com/watch?v=Sc9SyCGobWM&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=4,JMCG,energizing
4,God Rest Ye Merry Gentlemen,Pentatonix,youtube.com/watch?v=HhRtZgZTlwA&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=5,JMCG,energizing
5,Bohemian Rhapsody,Pentatonix,youtube.com/watch?v=XPwf4cRz8SQ&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=6,JMCG,energizing
6,The Holly and The Ivy,George Winston,youtube.com/watch?v=AwyJXMjsyNI&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=7,JMCG,energizing
7,"The Nutcracker Ballet Suite: ""Trepak (Russian Dance) """,Royal Philharmonic Orchestra,youtube.com/watch?v=rCWYDMNXr98&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=8,JMCG,energizing
8,"The Four Seasons, Op. 8 - Concerto No. 4 in F Minor, RV 297: “Winter” (L’Inverno) : I....",Various Artists,youtube.com/watch?v=0hinI5Di7c0&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=9,JMCG,energizing
9,"The Four Seasons, Op. 8 - Concerto No. 4 in F Minor, RV 297: “Winter” (L’Inverno) : III....",Various Artists,youtube.com/watch?v=1h9RMhQUDxY&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=10,JMCG,energizing
10,"The Four Seasons, Op. 8 - Concerto No. 1 in E Major, RV 269, “Spring” (La Primavera) : I....",Various Artists,youtube.com/watch?v=muclMEoJ6og&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=11,JMCG,energizing
11,"The Four Seasons, Op. 8 - Concerto No. 2 in G Minor, RV 315, “Summer” (L’Estate) : III....",Various Artists,youtube.com/watch?v=rVysk7xD8Lw&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=12,JMCG,energizing
12,"The Four Seasons, Op. 8 - Concerto No. 3 in F Major, RV 293, “Autumn” (L’Autunno) : I....",Various Artists,youtube.com/watch?v=hHGyXJQG8y8&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=13,JMCG,energizing
13,"The Four Seasons, Op. 8 - Concerto No. 3 in F Major, RV 293, “Autumn” (L’Autunno) : III....",Various Artists,youtube.com/watch?v=b6hnVCpG7Y8&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=14,JMCG,energizing
